service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_desc
hkir_71-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241028,20241031,tanév tartama alatt tanszünetben munkanapokon
hkir_720-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"munkanapokon, kivéve a hetek első munkanapján"
hkir_727-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240930,20241214,"iskolai előadási napokon, kivéve a hetek utolsó iskolai előadási napján"
hkir_73-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240930,20241214,"munkanapokon, kivéve a hetek utolsó iskolai előadási napját"
hkir_732-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241025,nyári időszámítás tartama alatt munkanapokon
hkir_733-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241026,"nyári időszámítás tartama alatt szabad- és munkaszüneti napokon, amennyiben a járatra érvényes menetjegy a VOLÁNBUSZ pénztáraiban az indulást megelőzően legalább 10 perccel megváltásra került"
hkir_741-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20240927,"március 28-tól szeptember 27-ig a hetek utolsó munkanapján, április 6-tól szeptember 22-ig a hetek utolsó munkanapján"
hkir_744-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241005,20241208,"április 23-ig és szeptember 30-tól szabad- és munkaszüneti napokon, április 30-ig és október 1-től szabad- és munkaszüneti napokon"
hkir_764-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20240928,"március 30-tól szeptember 28-ig szabadnapokon, április 8-tól szeptember 23-ig szabadnapokon"
hkir_765-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20240929,"március 29-től szeptember 29-ig munkaszüneti napokon, április 7-től szeptember 24-ig munkaszüneti napokon"
hkir_773-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"naponta, kivéve a tanév tartama alatt a hetek első munkanapját megelőző napon, naponta, kivéve a tanév tartama alatt a hetek első munkanapját megelőző napon, illetve közlekedik december 26-án"
hkir_776-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241213,a hetek utolsó munkanapján és a hetek első munkanapját megelőző napokon
hkir_779-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241023,20241101,"munkaszüneti napokon, kivéve a hetek első munkanapját megelőző napon"
hkir_781-2024-09-27_2024-10-30,0,0,0,0,0,0,0,20240928,20241026,munkanapot követő szabad- és munkaszüneti napokon
hkir_781-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241208,munkanapot követő szabad- és munkaszüneti napokon
hkir_781-2024-10-31_2024-12-14,0,0,0,0,0,0,0,20241101,20241208,munkanapot követő szabad- és munkaszüneti napokon
hkir_784-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,munkanapot követő napokon
hkir_785-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241028,20241028,a hetek első tanszünetes munkanapján
hkir_79-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"munkanapokon, kivéve szerdai munkanapokon"
hkir_790-2024-09-28_2024-09-29,0,0,0,0,0,0,0,20240928,20240929,"március 29-től szeptember 29-ig szabad- és munkaszüneti napokon, április 1-től szeptember 24-ig szabad- és munkaszüneti napokon"
hkir_791-2024-10-05_2024-10-06,0,0,0,0,0,0,0,20241005,20241006,"március 24-ig és október 5-től szabad- és munkaszüneti napokon, március 26-ig és szeptember 30-tól szabad- és munkaszüneti napokon"
hkir_791-2024-10-07_2024-10-18,0,0,0,0,0,0,0,20241012,20241013,"március 24-ig és október 5-től szabad- és munkaszüneti napokon, március 26-ig és szeptember 30-tól szabad- és munkaszüneti napokon"
hkir_791-2024-10-07_2024-10-25,0,0,0,0,0,0,0,20241012,20241023,"március 24-ig és október 5-től szabad- és munkaszüneti napokon, március 26-ig és szeptember 30-tól szabad- és munkaszüneti napokon"
hkir_791-2024-10-19_2024-10-20,0,0,0,0,0,0,0,20241019,20241020,"március 24-ig és október 5-től szabad- és munkaszüneti napokon, március 26-ig és szeptember 30-tól szabad- és munkaszüneti napokon"
hkir_791-2024-10-21_2024-12-14,0,0,0,0,0,0,0,20241023,20241208,"március 24-ig és október 5-től szabad- és munkaszüneti napokon, március 26-ig és szeptember 30-tól szabad- és munkaszüneti napokon"
hkir_791-2024-10-26_2024-10-27,0,0,0,0,0,0,0,20241026,20241027,"március 24-ig és október 5-től szabad- és munkaszüneti napokon, március 26-ig és szeptember 30-tól szabad- és munkaszüneti napokon"
hkir_791-2024-10-28_2024-12-14,0,0,0,0,0,0,0,20241101,20241208,"március 24-ig és október 5-től szabad- és munkaszüneti napokon, március 26-ig és szeptember 30-tól szabad- és munkaszüneti napokon"
hkir_793-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240930,20241214,"március 28-ig és szeptember 30-tól munkanapokon, március 31-ig és szeptember 25-től munkanapokon"
hkir_796-2024-09-27_2024-09-27,0,0,0,0,0,0,0,20240927,20240927,"március 29-től június 21-ig, valamint szeptember 2-től szeptember 29-ig naponta, április 1-től június 16-ig, valamint szeptember 1-től szeptember 24-ig naponta"
hkir_796-2024-09-28_2024-09-29,0,0,0,0,0,0,0,20240928,20240929,"március 29-től június 21-ig, valamint szeptember 2-től szeptember 29-ig naponta, április 1-től június 16-ig, valamint szeptember 1-től szeptember 24-ig naponta"
hkir_797-2024-09-28_2024-09-29,0,0,0,0,0,0,0,20240928,20240929,"március 29-től június 16-ig, valamint szeptember 7-től szeptember 29-ig szabad- és munkaszüneti napokon, április 1-től június 11-ig, valamint szeptember 2-től szeptember 24-ig szabad- és munkaszüneti napokon"
hkir_7Z7-2024-09-27_2024-12-27,0,0,0,0,0,0,0,20240927,20241213,1/-/-/-/5/-/-
hkir_92-2024-09-27_2024-10-06,0,0,0,0,0,0,0,20240927,20241004,"munkanapokon a MERCEDES-gyár munkarendje szerint, kivéve hétfői munkanapokat"
hkir_92-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"munkanapokon a MERCEDES-gyár munkarendje szerint, kivéve hétfői munkanapokat"
hkir_92-2024-10-07_2024-12-14,0,0,0,0,0,0,0,20241008,20241214,"munkanapokon a MERCEDES-gyár munkarendje szerint, kivéve hétfői munkanapokat"
hkir_?10-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241023,20241101,"Hétfői, keddi, szerdai, csütörtöki vagy pénteki szabad-és munkaszüneti napokon"
hkir_?11-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241002,20241005,"Forgalmi változás: 2022.06.26-án vasárnap, Közlekedik 2024. október 2-án és 5-én"
hkir_?15-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241001,20241031,"2024. október 02-án és 05-én kívül, közlekedik 2022.09.09-én"
hkir_?17-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20241208,munkaszüneti napokon
hkir_?19-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241130,szabadnapokon
hkir_A1V-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20241208,"munkaszüneti napokon, kivéve ünnepnapokon"
hkir_D-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"naponta, kivéve szabadnapokon"
hkir_H-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240930,20241209,a hetek első munkanapján
hkir_I-2024-09-27_2024-09-30,0,0,0,0,0,0,0,20240927,20240930,iskolai előadási napokon
hkir_I-2024-09-27_2024-10-06,0,0,0,0,0,0,0,20240927,20241004,iskolai előadási napokon
hkir_I-2024-09-27_2024-10-13,0,0,0,0,0,0,0,20240927,20241011,iskolai előadási napokon
hkir_I-2024-09-27_2024-10-30,0,0,0,0,0,0,0,20240927,20241025,iskolai előadási napokon
hkir_I-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,iskolai előadási napokon
hkir_I-2024-10-01_2024-10-11,0,0,0,0,0,0,0,20241001,20241011,iskolai előadási napokon
hkir_I-2024-10-07_2024-12-14,0,0,0,0,0,0,0,20241007,20241214,iskolai előadási napokon
hkir_I-2024-10-12_2024-12-14,0,0,0,0,0,0,0,20241014,20241214,iskolai előadási napokon
hkir_I-2024-10-14_2024-10-14,0,0,0,0,0,0,0,20241014,20241014,iskolai előadási napokon
hkir_I-2024-10-15_2024-12-14,0,0,0,0,0,0,0,20241015,20241214,iskolai előadási napokon
hkir_I-2024-10-31_2024-12-14,0,0,0,0,0,0,0,20241104,20241214,iskolai előadási napokon
hkir_L-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240930,20241214,"munkanapokon, kivéve a hetek utolsó munkanapján"
hkir_M-2024-09-27_2024-09-30,0,0,0,0,0,0,0,20240927,20240930,munkanapokon
hkir_M-2024-09-27_2024-10-06,0,0,0,0,0,0,0,20240927,20241004,munkanapokon
hkir_M-2024-09-27_2024-10-13,0,0,0,0,0,0,0,20240927,20241011,munkanapokon
hkir_M-2024-09-27_2024-10-30,0,0,0,0,0,0,0,20240927,20241030,munkanapokon
hkir_M-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,munkanapokon
